Gene ID,Homologs,Symbol,NCBI Gene ID,HGNC,Description,Category,Score,Evidence,Notes
ENSG00000004961,ENSG00000004961 ENSDARG00000028131 ENSMUSG00000031352 ENSRNOG00000025910 SPBC26H8.12 YAL039C ,HCCS,3052,HGNC:4837,holocytochrome c synthase,Known mitochondrial,1,PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 8 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.077225 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 1 | ,OMIM:300056
ENSG00000005022,ENSG00000005022 ENSDARG00000005853 ENSMUSG00000016319 ENSRNOG00000039980 ,SLC25A5,292,HGNC:10991,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",Known mitochondrial,0.999999844,PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12601808_placenta_0: 1 | PMID12865426_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 1 | PMID17000643_Sum: 3 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 9 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 5 | MTS_Mean: 0.08726875 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 0.4 | Comm_Mito_Ratio: 1 | ,Metabolic model
ENSG00000005059,ENSG00000005059 ENSMUSG00000027994 ENSRNOG00000009433 ,CCDC109B,55013,HGNC:26076,coiled-coil domain containing 109B,Known mitochondrial,0.999999972,PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MTS_Mean: 0.66778125 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 1.8 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | ,Characterised
ENSG00000005156,ENSG00000005156 ENSDARG00000052553 ENSMUSG00000020697 ENSRNOG00000021815 ,LIG3,3980,HGNC:6600,"ligase III, DNA, ATP-dependent",Known mitochondrial,0.624466679,PMID24708184_Sum: 2 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 1 | MTS_Mean: 0.3429 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.2 | Comm_Mito_Ratio: 0.231 | ,OMIM:600940
ENSG00000005187,ENSG00000005187 ENSDARG00000004880 ENSMUSG00000030935 ENSRNOG00000032246 ,ACSM3,6296,HGNC:10522,acyl-CoA synthetase medium-chain family member 3,Known mitochondrial,0.999999999,PMID14651853_Sum: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 6 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MTS_Mean: 0.7284125 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | ,Characterised; Metabolic model; 
ENSG00000005379,ENSG00000005379 ENSMUSG00000034156 ENSRNOG00000007957 ,BZRAP1,9256,HGNC:16831,benzodiazepine receptor (peripheral) associated protein 1,Known mitochondrial,0.999998286,PMID26450961_Sum: 1 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.02906875 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.8 | Comm_Mito_Ratio: 0.625 | ,OMIM:610764
ENSG00000005882,ENSG00000005882 ENSDARG00000059054 ENSMUSG00000038967 ENSRNOG00000004172 SPAC644.11c YIL042C ,PDK2,5164,HGNC:8810,"pyruvate dehydrogenase kinase, isozyme 2",Known mitochondrial,1,PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 14 | PMID16615898_Sum: 2 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 4 | MTS_Mean: 0.73569375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.2 | Comm_Mito_Ratio: 0.962 | ,Characterised
ENSG00000006282,ENSG00000006282 ENSDARG00000013880 ENSMUSG00000020867 ENSRNOG00000003273 ,SPATA20,64847,HGNC:26125,spermatogenesis associated 20,Known mitochondrial,0.472794047,MTS_Mean: 0.48045625 | compartments_knowledge_difference: -1.8 | Cluh_Enrichment: 1 | ,APEX; PMID:23371551
ENSG00000006530,ENSG00000006530 ENSMUSG00000029916 ENSRNOG00000011509 ,AGK,0,HGNC:21869,acylglycerol kinase,Known mitochondrial,0.999999998,PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID16615898_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Heart_Sum: 3 | MTS_Mean: 0.4388625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 1 | Cluh_Enrichment: 1 | ,Characterised
ENSG00000006695,ENSG00000006695 ENSDARG00000034309 ENSMUSG00000042148 ENSRNOG00000024972 SPBC365.02c YPL172C ,COX10,1352,HGNC:2260,COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor,Known mitochondrial,0.999999974,PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 3 | MS_Brain_Sum: 1 | MTS_Mean: 0.6394375 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | ,Characterised
ENSG00000006744,ENSG00000006744 ENSDARG00000034060 ENSMUSG00000020549 ENSRNOG00000003424 SPBC3D6.03c YKR079C ,ELAC2,60528,HGNC:14198,elaC ribonuclease Z 2,Known mitochondrial,1,PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 5 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.90098125 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.833 | ,OMIM:605367
ENSG00000007923,ENSG00000007923 ENSDARG00000102696 ENSMUSG00000039768 ENSRNOG00000008802 SPBC405.06 YLR090W ,DNAJC11,55735,HGNC:25570,"DnaJ (Hsp40) homolog, subfamily C, member 11",Known mitochondrial,0.999999988,PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 4 | MTS_Mean: 0.02405625 | hela_subcell_location_Mitochondrion: 1 | HPA_Cytoplasm: 1 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.2 | Comm_Mito_Ratio: 0.714 | ,OMIM:614827
ENSG00000008311,ENSG00000008311 ENSDARG00000051816 ENSMUSG00000029695 ENSRNOG00000039494 SPBC3B8.03 YNR050C ,AASS,10157,HGNC:17366,aminoadipate-semialdehyde synthase,Known mitochondrial,1,PMID14651853_Sum: 2 | PMID16415296_unknown_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 11 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 3 | MTS_Mean: 0.87704375 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.6 | Comm_Mito_Ratio: 0.95 | ,Characterised; Metabolic model; 
ENSG00000008405,ENSG00000008405 ENSDARG00000045768 ENSMUSG00000020038 ENSRNOG00000006622 ,CRY1,1407,HGNC:2384,cryptochrome circadian clock 1,Known mitochondrial,0.257629596,MTS_Mean: 0.28991875 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.8 | Comm_Mito_Ratio: 0.062 | ,OMIM:601933
ENSG00000010256,ENSG00000010256 ENSDARG00000052304 ENSMUSG00000025651 ENSRNOG00000032134 SPBP23A10.15c YLR163C ,UQCRC1,7384,HGNC:12585,ubiquinol-cytochrome c reductase core protein I,Known mitochondrial,0.999997262,PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 5 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 5 | PMID19834913_skeletal_muscle_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 9 | MS_Skeletal_Muscle_Sum: 4 | MS_Liver_Sum: 7 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 9 | MTS_Mean: 0.87395 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_Cytoplasm: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 1 | ,Characterised; Metabolic model; 
ENSG00000011295,ENSG00000011295 ENSDARG00000074435 ENSMUSG00000042298 ENSRNOG00000002977 ,TTC19,54902,HGNC:26006,tetratricopeptide repeat domain 19,Known mitochondrial,0.999999998,PMID17519225_T_leukemia_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 7 | PMID15598749_T_leukemia_cell_line_0: 1 | MS_Brain_Sum: 2 | MS_Liver_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.968225 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 1.8 | ,Characterised; Metabolic model; 
ENSG00000011376,ENSG00000011376 ENSDARG00000075337 ENSMUSG00000035202 ENSRNOG00000004760 SPAC4G8.09 YLR382C ,LARS2,23395,HGNC:17095,"leucyl-tRNA synthetase 2, mitochondrial",Known mitochondrial,1,PMID12592411_heart_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 14 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 3 | MTS_Mean: 0.62589375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 1 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.439 | ,Characterised
ENSG00000013306,ENSG00000013306 ENSDARG00000007449 ENSMUSG00000018677 ENSRNOG00000020994 SPBP23A10.06 YGR257C ,SLC25A39,51629,HGNC:24279,"solute carrier family 25, member 39",Known mitochondrial,0.982135463,PMID24708184_Sum: 1 | MTS_Mean: 0.03705625 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 2.2 | ,Characterised
ENSG00000013583,ENSG00000013583 ENSDARG00000101008 ENSMUSG00000042770 ENSRNOG00000000024 ,HEBP1,50865,HGNC:17176,heme binding protein 1,Known mitochondrial,0.827535042,PMID14651853_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 1 | PMID26450961_Sum: 5 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MS_Liver_Sum: 4 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.051675 | hela_subcell_location_NotMitochondrion: 1 | compartments_knowledge_difference: -1 | Comm_Mito_Ratio: 0.097 | ,APEX; PMID:25002142
ENSG00000014824,ENSG00000014824 ENSDARG00000057272 ENSMUSG00000029221 ENSRNOG00000002246 ,SLC30A9,10463,HGNC:1329,"solute carrier family 30 (zinc transporter), member 9",Known mitochondrial,0.980970733,PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 9 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MTS_Mean: 0.71866875 | compartments_knowledge_difference: -1.8 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.25 | ,APEX; PMID:23371551
ENSG00000014919,ENSG00000014919 ENSDARG00000075933 ENSMUSG00000040018 ENSRNOG00000017230 SPAC22E12.10c YER141W ,COX15,1355,HGNC:2263,cytochrome c oxidase assembly homolog 15 (yeast),Known mitochondrial,1,PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 11 | PMID12865426_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Liver_Sum: 3 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.91709375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 1 | ,OMIM:603646
ENSG00000016391,ENSG00000016391 ENSDARG00000100304 ENSMUSG00000015970 ENSRNOG00000015859 ,CHDH,55349,HGNC:24288,choline dehydrogenase,Known mitochondrial,0.999999699,PMID16415296_unknown_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 9 | PMID12865426_liver_0: 1 | PMID15507458_liver_0: 1 | PMID16615898_Sum: 3 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 1 | PMID17000643_Sum: 2 | PMID21672642_liver_0: 1 | MS_Placenta_Sum: 2 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 9 | MS_Kidney_Sum: 3 | MTS_Mean: 0.5637125 | compartments_knowledge_difference: 2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.6 | ,Characterised
ENSG00000019186,ENSG00000019186 ENSDARG00000103277 ENSMUSG00000038567 ENSRNOG00000013062 ,CYP24A1,1591,HGNC:2602,"cytochrome P450, family 24, subfamily A, polypeptide 1",Known mitochondrial,0.999998081,MTS_Mean: 0.7052125 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 0.25 | ,Characterised
