"Gene.ID"	"Symbol"	"Homologs"	"Description"	"Category"	"Score"	"Evidence"	"Notes"	"adipose.tissue"	"adrenal.gland"	"appendix"	"bone.marrow"	"breast"	"cerebral.cortex"	"cervix..uterine"	"colon"	"duodenum"	"endometrium"	"epididymis"	"esophagus"	"fallopian.tube"	"gallbladder"	"heart.muscle"	"kidney"	"liver"	"lung"	"lymph.node"	"ovary"	"pancreas"	"parathyroid.gland"	"placenta"	"prostate"	"rectum"	"salivary.gland"	"seminal.vesicle"	"skeletal.muscle"	"skin"	"small.intestine"	"smooth.muscle"	"spleen"	"stomach"	"testis"	"thyroid.gland"	"tonsil"	"urinary.bladder"	"OMIM_ID"	"Dis_description"	"DomRec"	"WashU"	"DisCol"	"DomCol"	"GO_enzyme"	"pLI"
"ENSG00000004864"	"SLC25A13"	"ENSG00000004864 ENSDARG00000099353 ENSMUSG00000015112 ENSRNOG00000009957 "	"solute carrier family 25 (aspartate/glutamate carrier), member 13"	"Known mitochondrial"	0.999999983	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 5 | MTS_Mean: 0.172975 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.412 | "	"Characterised"	8.7	16.9	12.4	5	12.6	11.6	11	16.4	16.8	12.7	12.3	9.8	15.1	15.7	4	33.6	77.3	9.9	8.4	9.4	2	21.9	23	12.4	19.9	2.5	17.4	1.6	14.2	15	9.8	12	13.6	13.8	22.9	8.2	10.6	"603471,605814"	"Citrullinemia, type II, adult-onset; Citrullinemia, type II, neonatal-onset"	"R"	"MitoDis"	"black"	"green"	NA	1.9404630788689e-15
"ENSG00000004961"	"HCCS"	"ENSG00000004961 ENSDARG00000028131 ENSMUSG00000031352 ENSRNOG00000025910 SPBC26H8.12 YAL039C "	"holocytochrome c synthase"	"Known mitochondrial"	1	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 8 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.077225 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 1 | "	"OMIM:300056"	17.8	22.2	21.2	13.8	18.2	21.7	15	25.4	28.5	14.6	9.6	21.3	16.8	20.4	31.9	22.2	13.6	18	20.7	10.7	2.6	27.6	22.6	17.8	26.4	6.9	16.6	25.9	14.3	26.6	19.8	24.6	16.7	22	21.3	18.7	22.3	"309801"	"Microphthalmia, syndromic 7"	"XD"	"MitoDis"	"black"	"blue"	"catalytic activity"	0.950550391243934
"ENSG00000005022"	"SLC25A5"	"ENSG00000005022 ENSDARG00000005853 ENSMUSG00000016319 ENSRNOG00000039980 "	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"	"Known mitochondrial"	0.999999844	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12601808_placenta_0: 1 | PMID12865426_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 1 | PMID17000643_Sum: 3 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 9 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 5 | MTS_Mean: 0.08726875 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 0.4 | Comm_Mito_Ratio: 1 | "	"Metabolic model"	171.7	160.7	251.3	168	204	162	135.5	475.7	791	154.1	79.3	327.8	143.9	164.8	122.7	522.5	178.4	207.4	305.5	92.7	121.2	211	202.2	140.3	577.5	113.7	149.6	9.8	213.9	651.1	224.6	197.4	347.5	105.2	222.1	290.6	233.1	NA	NA	NA	NA	"white"	"white"	NA	0.857861936540947
"ENSG00000005059"	"CCDC109B"	"ENSG00000005059 ENSMUSG00000027994 ENSRNOG00000009433 "	"coiled-coil domain containing 109B"	"Known mitochondrial"	0.999999972	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MTS_Mean: 0.66778125 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 1.8 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | "	"Characterised"	8.8	2.6	24.9	6.4	9.4	6.1	8.3	5.4	3.8	13.9	1.7	6	6.4	12.1	3.3	1.2	1.2	10.6	36.7	6.8	0.2	3.5	8.5	3.5	7.2	0.8	3.1	0.5	6.8	5.8	11.7	18.6	4.2	5.5	2.2	24	9	NA	NA	NA	NA	"white"	"white"	NA	0.00614925695036299
"ENSG00000005156"	"LIG3"	"ENSG00000005156 ENSDARG00000052553 ENSMUSG00000020697 ENSRNOG00000021815 "	"ligase III, DNA, ATP-dependent"	"Known mitochondrial"	0.624466679	"PMID24708184_Sum: 2 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 1 | MTS_Mean: 0.3429 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.2 | Comm_Mito_Ratio: 0.231 | "	"OMIM:600940"	5.7	8.5	10.2	4.7	10.6	10.4	11.9	8.3	6.1	20.7	7.6	10	19	8.4	4.8	7.1	3.3	7.7	8.6	14.1	1.8	24.5	11.9	17.4	10.1	4.3	12.5	2.9	9.7	7.6	14.8	10.7	6.2	38.5	16.8	8	8.9	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	2.83467985577354e-06
"ENSG00000005187"	"ACSM3"	"ENSG00000005187 ENSDARG00000004880 ENSMUSG00000030935 ENSRNOG00000032246 "	"acyl-CoA synthetase medium-chain family member 3"	"Known mitochondrial"	0.999999999	"PMID14651853_Sum: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 6 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MTS_Mean: 0.7284125 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | "	"Characterised; Metabolic model; "	1.6	2.1	3.4	10	81.5	1.1	8.4	27.1	8.1	13.4	7	3.4	43.7	16.5	2.2	89.9	93	12.4	3.6	67.8	6.5	29	3.7	35.5	29.4	2.2	10.1	0.2	4.9	9.5	7.8	2.9	18.3	11.6	4.5	2.9	8.4	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	4.97906453643603e-09
"ENSG00000005379"	"BZRAP1"	"ENSG00000005379 ENSMUSG00000034156 ENSRNOG00000007957 "	"benzodiazepine receptor (peripheral) associated protein 1"	"Known mitochondrial"	0.999998286	"PMID26450961_Sum: 1 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.02906875 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.8 | Comm_Mito_Ratio: 0.625 | "	"OMIM:610764"	4.3	19.8	9.5	30.9	12.2	69.3	18	6.4	5.8	41.4	10.3	9.3	52.2	14.5	6.8	8.8	2.1	20.1	17	40.9	3.8	33.3	3.5	29.7	5.7	13.1	33.7	4.5	9.8	8.3	15.5	20.5	11.3	3.6	23.5	6.6	6.5	NA	NA	NA	NA	"white"	"white"	NA	0.0566264084919234
"ENSG00000005882"	"PDK2"	"ENSG00000005882 ENSDARG00000059054 ENSMUSG00000038967 ENSRNOG00000004172 SPAC644.11c YIL042C "	"pyruvate dehydrogenase kinase, isozyme 2"	"Known mitochondrial"	1	"PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 14 | PMID16615898_Sum: 2 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 4 | MTS_Mean: 0.73569375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.2 | Comm_Mito_Ratio: 0.962 | "	"Characterised"	43.8	50.4	12	3.1	15.3	52.6	23.6	23.4	28.9	37.2	149	23.9	39.7	28.1	71.5	64.8	26.6	23.2	11.8	59.2	7.5	45.5	21.1	33.6	23.8	11.2	38.4	75.3	22.1	34.8	38.8	18.2	17.1	19.8	45.6	8.8	19	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	0.168975524516492
"ENSG00000006125"	"AP2B1"	"ENSG00000006125 ENSDARG00000035152 ENSMUSG00000035152 ENSRNOG00000061543 "	"adaptor-related protein complex 2, beta 1 subunit"	"Predicted mitochondrial"	0.952834024	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 3 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.017 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.6 | Comm_Mito_Ratio: 0.25 | "	""	54.1	52.9	55.3	31.6	76.5	205.9	89.2	70.9	36.2	73.7	86.3	30.4	81.8	73	50.3	78.3	19.2	82	47.5	76.4	7.1	260.8	101.5	72.8	98.6	13.1	74.5	18.8	29.3	39.8	85.5	62.7	44.6	171.6	118.8	45.8	51.7	NA	NA	NA	NA	"white"	"white"	NA	0.999667233317167
"ENSG00000006282"	"SPATA20"	"ENSG00000006282 ENSDARG00000013880 ENSMUSG00000020867 ENSRNOG00000003273 "	"spermatogenesis associated 20"	"Known mitochondrial"	0.472794047	"MTS_Mean: 0.48045625 | compartments_knowledge_difference: -1.8 | Cluh_Enrichment: 1 | "	"APEX; PMID:23371551"	8	22.9	7.6	1.9	4.3	13.9	12	9	7.2	13.9	9.1	8.3	15.5	13.9	17.7	8.5	4.3	7.6	5.4	18.2	3.2	12.8	6.6	16.3	3.9	6.5	11.3	5.3	7.2	8.1	8.2	15.7	17	97.7	24.8	2	8.7	NA	NA	NA	NA	"white"	"white"	"catalytic activity"	1.10605452840792e-05
"ENSG00000006530"	"AGK"	"ENSG00000006530 ENSMUSG00000029916 ENSRNOG00000011509 "	"acylglycerol kinase"	"Known mitochondrial"	0.999999998	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID16615898_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Heart_Sum: 3 | MTS_Mean: 0.4388625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 1 | Cluh_Enrichment: 1 | "	"Characterised"	11.1	17.1	13.4	4.9	13.8	21.5	13.1	9.6	7.7	18.7	17.6	11.7	19.6	12.2	19.4	17.9	5.7	11.7	14.6	13.5	1.5	24.8	15.5	16.3	15.4	4.4	14.3	2.6	7.8	7.5	22.3	13.2	7.8	12.3	17.2	15.1	11.8	"614691,212350"	"Cataract 38; Sengers syndrome"	"R"	"MitoDis"	"black"	"green"	"catalytic activity"	2.4706842233331e-06
"ENSG00000006695"	"COX10"	"ENSG00000006695 ENSDARG00000034309 ENSMUSG00000042148 ENSRNOG00000024972 SPBC365.02c YPL172C "	"COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor"	"Known mitochondrial"	0.999999974	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 3 | MS_Brain_Sum: 1 | MTS_Mean: 0.6394375 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | "	"Characterised"	8.7	6.6	9.2	7.5	8	8.1	8.8	14.2	14.7	10.2	6.1	13.5	11.2	8.3	17.3	12.9	5.3	7.5	8.7	6.5	2.2	15.8	11.5	10	15.9	3.2	9.1	15.8	7	13.4	12.1	6.6	7.9	43	12.7	8.9	9.2	"256000,220110"	"Leigh syndrome; Mitochondrial complex IV deficiency"	"R"	"MitoDis"	"black"	"green"	"catalytic activity"	0.646572545927849
