Protein	Gene.ID	Gene	Status	CAFA
2068	O15294	ENSG00000147162	OGT	Known mitochondrial	Da
2069	O15382	ENSG00000105552	BCAT2	Known mitochondrial	Da
2070	O15382	ENSG00000105552	BCAT2	Known mitochondrial	Da
2071	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2072	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2073	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2074	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2075	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2076	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2077	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2078	O15527	ENSG00000114026	OGG1	Known mitochondrial	Da
2079	O15528	ENSG00000111012	CYP27B1	Known mitochondrial	Da
2083	O43169	ENSG00000103018	CYB5B	Known mitochondrial	Da
2084	O43181	ENSG00000164258	NDUFS4	Known mitochondrial	Da
2085	O43236	ENSG00000108387	Sep-04	Known mitochondrial	Da
2086	O43236	ENSG00000108387	Sep-04	Known mitochondrial	Da
2087	O43236	ENSG00000108387	Sep-04	Known mitochondrial	Da
2088	O43236	ENSG00000108387	Sep-04	Known mitochondrial	Da
2089	O43236	ENSG00000108387	Sep-04	Known mitochondrial	Da
2090	O43236	ENSG00000108387	Sep-04	Known mitochondrial	Da
2091	O43252	ENSG00000138801	PAPSS1	Predicted mitochondrial	Da
2092	O43272	ENSG00000100033	PRODH	Known mitochondrial	Da
2093	O43272	ENSG00000100033	PRODH	Known mitochondrial	Da
2094	O43272	ENSG00000100033	PRODH	Known mitochondrial	Da
2095	O43325	ENSG00000102897	LYRM1	Known mitochondrial	Da
2096	O43402	ENSG00000131148	EMC8	Known mitochondrial	Da
2097	O43402	ENSG00000131148	EMC8	Known mitochondrial	Da
2098	O43427	ENSG00000172500	FIBP	Known mitochondrial	Da
2099	O43427	ENSG00000172500	FIBP	Known mitochondrial	Da
2100	O43464	ENSG00000115317	HTRA2	Known mitochondrial	Da
2101	O43464	ENSG00000115317	HTRA2	Known mitochondrial	Da
2102	O43464	ENSG00000115317	HTRA2	Known mitochondrial	Da
2103	O43464	ENSG00000115317	HTRA2	Known mitochondrial	Da
2104	O43488	ENSG00000053371	AKR7A2	Known mitochondrial	Da
2105	O43502	ENSG00000108384	RAD51C	Known mitochondrial	Da
2106	O43502	ENSG00000108384	RAD51C	Known mitochondrial	Da
2107	O43542	ENSG00000126215	XRCC3	Known mitochondrial	Da
2108	O43572	ENSG00000108599	AKAP10	Known mitochondrial	Da
2109	O43615	ENSG00000104980	TIMM44	Known mitochondrial	Da
2110	O43674	ENSG00000136521	NDUFB5	Known mitochondrial	Da
2111	O43674	ENSG00000136521	NDUFB5	Known mitochondrial	Da
2112	O43676	ENSG00000119013	NDUFB3	Known mitochondrial	Da
2113	O43677	ENSG00000109390	NDUFC1	Known mitochondrial	Da
2114	O43678	ENSG00000131495	NDUFA2	Known mitochondrial	Da
2115	O43678	ENSG00000131495	NDUFA2	Known mitochondrial	Da
2116	O43708	ENSG00000100577	GSTZ1	Known mitochondrial	Da
2117	O43708	ENSG00000100577	GSTZ1	Known mitochondrial	Da
2118	O43708	ENSG00000100577	GSTZ1	Known mitochondrial	Da
2119	O43715	ENSG00000170855	TRIAP1	Known mitochondrial	Da
2120	O43716	ENSG00000257218	GATC	Known mitochondrial	Da
2121	O43766	ENSG00000121897	LIAS	Known mitochondrial	Da
2122	O43766	ENSG00000121897	LIAS	Known mitochondrial	Da
2123	O43766	ENSG00000121897	LIAS	Known mitochondrial	Da
2124	O43772	ENSG00000178537	SLC25A20	Known mitochondrial	Da
2125	O43819	ENSG00000130489	SCO2	Known mitochondrial	Da
2126	O43837	ENSG00000101365	IDH3B	Known mitochondrial	Da
2127	O43837	ENSG00000101365	IDH3B	Known mitochondrial	Da
2128	O43837	ENSG00000101365	IDH3B	Known mitochondrial	Da
2129	O43920	ENSG00000168653	NDUFS5	Known mitochondrial	Da
2130	O60220	ENSG00000126953	TIMM8A	Known mitochondrial	Da
2131	O60237	ENSG00000077157	PPP1R12B	Predicted mitochondrial	Da
2132	O60237	ENSG00000077157	PPP1R12B	Predicted mitochondrial	Da
2133	O60237	ENSG00000077157	PPP1R12B	Predicted mitochondrial	Da
2134	O60237	ENSG00000077157	PPP1R12B	Predicted mitochondrial	Da
2135	O60237	ENSG00000077157	PPP1R12B	Predicted mitochondrial	Da
2136	O60238	ENSG00000104765	BNIP3L	Known mitochondrial	Da
2137	O60238	ENSG00000104765	BNIP3L	Known mitochondrial	Da
2138	O60239	ENSG00000131370	SH3BP5	Predicted mitochondrial	Da
2139	O60239	ENSG00000131370	SH3BP5	Predicted mitochondrial	Da
2140	O60313	ENSG00000198836	OPA1	Known mitochondrial	Da
2141	O60313	ENSG00000198836	OPA1	Known mitochondrial	Da
2148	O60427	ENSG00000149485	FADS1	Known mitochondrial	Da
2149	O60427	ENSG00000149485	FADS1	Known mitochondrial	Da
2150	O60488	ENSG00000068366	ACSL4	Predicted mitochondrial	Da
2151	O60488	ENSG00000068366	ACSL4	Predicted mitochondrial	Da
2152	O60783	ENSG00000120333	MRPS14	Known mitochondrial	Da
2153	O60830	ENSG00000126768	TIMM17B	Known mitochondrial	Da
2154	O60830	ENSG00000126768	TIMM17B	Known mitochondrial	Da
2156	O60936	ENSG00000140939	NOL3	Known mitochondrial	Da
2157	O60936	ENSG00000140939	NOL3	Known mitochondrial	Da
2158	O60936	ENSG00000140939	NOL3	Known mitochondrial	Da
2166	O75027	ENSG00000131269	ABCB7	Known mitochondrial	Da
2167	O75027	ENSG00000131269	ABCB7	Known mitochondrial	Da
2168	O75027	ENSG00000131269	ABCB7	Known mitochondrial	Da
2169	O75094	ENSG00000184347	SLIT3	Known mitochondrial	Da
2170	O75094	ENSG00000184347	SLIT3	Known mitochondrial	Da
2171	O75094	ENSG00000184347	SLIT3	Known mitochondrial	Da
2172	O75094	ENSG00000184347	SLIT3	Known mitochondrial	Da
2173	O75127	ENSG00000106246	PTCD1	Known mitochondrial	Da
2174	O75153	ENSG00000132361	CLUH	Known mitochondrial	Da
2175	O75208	ENSG00000088682	COQ9	Known mitochondrial	Da
2176	O75208	ENSG00000088682	COQ9	Known mitochondrial	Da
2177	O75251	ENSG00000115286	NDUFS7	Known mitochondrial	Da
2178	O75251	ENSG00000115286	NDUFS7	Known mitochondrial	Da
2179	O75306	ENSG00000158864	NDUFS2	Known mitochondrial	Da
2180	O75306	ENSG00000158864	NDUFS2	Known mitochondrial	Da
2181	O75323	ENSG00000146729	NIPSNAP2	Known mitochondrial	Da
2182	O75323	ENSG00000146729	NIPSNAP2	Known mitochondrial	Da
2183	O75380	ENSG00000145494	NDUFS6	Known mitochondrial	Da
2184	O75390	ENSG00000062485	CS	Known mitochondrial	Da
2185	O75394	ENSG00000243147	MRPL33	Known mitochondrial	Da
2186	O75394	ENSG00000243147	MRPL33	Known mitochondrial	Da
2187	O75414	ENSG00000172113	NME6	Known mitochondrial	Da
2188	O75414	ENSG00000172113	NME6	Known mitochondrial	Da
2189	O75414	ENSG00000172113	NME6	Known mitochondrial	Da
2190	O75431	ENSG00000128654	MTX2	Known mitochondrial	Da
2191	O75431	ENSG00000128654	MTX2	Known mitochondrial	Da
2192	O75438	ENSG00000183648	NDUFB1	Known mitochondrial	Da
2193	O75438	ENSG00000183648	NDUFB1	Known mitochondrial	Da
2195	O75489	ENSG00000213619	NDUFS3	Known mitochondrial	Da
2196	O75489	ENSG00000213619	NDUFS3	Known mitochondrial	Da
2197	O75521	ENSG00000198721	ECI2	Known mitochondrial	Da
2198	O75521	ENSG00000198721	ECI2	Known mitochondrial	Da
2199	O75570	ENSG00000120662	MTRF1	Known mitochondrial	Da
2200	O75570	ENSG00000120662	MTRF1	Known mitochondrial	Da
2201	O75600	ENSG00000100116	GCAT	Known mitochondrial	Da
2202	O75600	ENSG00000100116	GCAT	Known mitochondrial	Da
2203	O75608	ENSG00000120992	LYPLA1	Predicted mitochondrial	Da
2204	O75608	ENSG00000120992	LYPLA1	Predicted mitochondrial	Da
2205	O75616	ENSG00000132591	ERAL1	Known mitochondrial	Da
2206	O75616	ENSG00000132591	ERAL1	Known mitochondrial	Da
2207	O75648	ENSG00000100416	TRMU	Known mitochondrial	Da
2208	O75648	ENSG00000100416	TRMU	Known mitochondrial	Da
2209	O75648	ENSG00000100416	TRMU	Known mitochondrial	Da
2210	O75648	ENSG00000100416	TRMU	Known mitochondrial	Da
2211	O75648	ENSG00000100416	TRMU	Known mitochondrial	Da
2212	O75746	ENSG00000115840	SLC25A12	Known mitochondrial	Da
2213	O75746	ENSG00000115840	SLC25A12	Known mitochondrial	Da
2214	O75807	ENSG00000087074	PPP1R15A	Known mitochondrial	Da
2215	O75807	ENSG00000087074	PPP1R15A	Known mitochondrial	Da
2216	O75874	ENSG00000138413	IDH1	Predicted mitochondrial	Da
2217	O75879	ENSG00000059691	GATB	Known mitochondrial	Da
2218	O75880	ENSG00000133028	SCO1	Known mitochondrial	Da
2219	O75891	ENSG00000144908	ALDH1L1	Known mitochondrial	Da
2220	O75891	ENSG00000144908	ALDH1L1	Known mitochondrial	Da
2221	O75891	ENSG00000144908	ALDH1L1	Known mitochondrial	Da
2222	O75891	ENSG00000144908	ALDH1L1	Known mitochondrial	Da
2224	O75911	ENSG00000162496	DHRS3	Predicted mitochondrial	Da
2225	O75911	ENSG00000162496	DHRS3	Predicted mitochondrial	Da
2226	O75936	ENSG00000129151	BBOX1	Predicted mitochondrial	Da
2227	O75947	ENSG00000167863	ATP5H	Known mitochondrial	Da
2228	O75947	ENSG00000167863	ATP5H	Known mitochondrial	Da
2229	O75964	ENSG00000167283	ATP5L	Known mitochondrial	Da
2230	O76031	ENSG00000166855	CLPX	Known mitochondrial	Da
2237	O94826	ENSG00000154174	TOMM70	Known mitochondrial	Da
2238	O94903	ENSG00000147471	PLPBP	Known mitochondrial	Da
2239	O94911	ENSG00000141338	ABCA8	Predicted mitochondrial	Da
2240	O94911	ENSG00000141338	ABCA8	Predicted mitochondrial	Da
2241	O94911	ENSG00000141338	ABCA8	Predicted mitochondrial	Da
2242	O94925	ENSG00000115419	GLS	Known mitochondrial	Da
2243	O94925	ENSG00000115419	GLS	Known mitochondrial	Da
2244	O94925	ENSG00000115419	GLS	Known mitochondrial	Da
2245	O95139	ENSG00000165264	NDUFB6	Known mitochondrial	Da
2246	O95139	ENSG00000165264	NDUFB6	Known mitochondrial	Da
2247	O95140	ENSG00000116688	MFN2	Known mitochondrial	Da
2248	O95140	ENSG00000116688	MFN2	Known mitochondrial	Da
2249	O95153	ENSG00000005379	TSPOAP1	Known mitochondrial	Da
2250	O95153	ENSG00000005379	TSPOAP1	Known mitochondrial	Da
2251	O95153	ENSG00000005379	TSPOAP1	Known mitochondrial	Da
2252	O95167	ENSG00000170906	NDUFA3	Known mitochondrial	Da
2253	O95168	ENSG00000065518	NDUFB4	Known mitochondrial	Da
2254	O95168	ENSG00000065518	NDUFB4	Known mitochondrial	Da
2255	O95169	ENSG00000166136	NDUFB8	Known mitochondrial	Da
2256	O95169	ENSG00000166136	NDUFB8	Known mitochondrial	Da
2257	O95169	ENSG00000166136	NDUFB8	Known mitochondrial	Da
2258	O95178	ENSG00000090266	NDUFB2	Known mitochondrial	Da
2259	O95182	ENSG00000267855	NDUFA7	Known mitochondrial	Da
2260	O95202	ENSG00000168924	LETM1	Known mitochondrial	Da
2261	O95202	ENSG00000168924	LETM1	Known mitochondrial	Da
2262	O95202	ENSG00000168924	LETM1	Known mitochondrial	Da
2263	O95258	ENSG00000102078	SLC25A14	Known mitochondrial	Da
2264	O95258	ENSG00000102078	SLC25A14	Known mitochondrial	Da
2265	O95258	ENSG00000102078	SLC25A14	Known mitochondrial	Da
2266	O95298	ENSG00000151366	NDUFC2	Known mitochondrial	Da
2267	O95298	ENSG00000151366	NDUFC2	Known mitochondrial	Da
2268	O95298	ENSG00000151366	NDUFC2	Known mitochondrial	Da
2269	O95299	ENSG00000130414	NDUFA10	Known mitochondrial	Da
2270	O95299	ENSG00000130414	NDUFA10	Known mitochondrial	Da
2271	O95340	ENSG00000198682	PAPSS2	Predicted mitochondrial	Da
2272	O95340	ENSG00000198682	PAPSS2	Predicted mitochondrial	Da
2273	O95363	ENSG00000145982	FARS2	Known mitochondrial	Da
2281	O95563	ENSG00000143158	MPC2	Known mitochondrial	Da
2282	O95571	ENSG00000105755	ETHE1	Known mitochondrial	Da
2283	O95573	ENSG00000123983	ACSL3	Predicted mitochondrial	Da
2284	O95721	ENSG00000099940	SNAP29	Known mitochondrial	Da
2285	O95749	ENSG00000152904	GGPS1	Predicted mitochondrial	Da
2286	O95749	ENSG00000152904	GGPS1	Predicted mitochondrial	Da
2287	O95816	ENSG00000112208	BAG2	Predicted mitochondrial	Da
2288	O95816	ENSG00000112208	BAG2	Predicted mitochondrial	Da
2289	O95822	ENSG00000103150	MLYCD	Known mitochondrial	Da
2290	O95822	ENSG00000103150	MLYCD	Known mitochondrial	Da
2291	O95831	ENSG00000156709	AIFM1	Known mitochondrial	Da
2292	O95831	ENSG00000156709	AIFM1	Known mitochondrial	Da
2293	O95831	ENSG00000156709	AIFM1	Known mitochondrial	Da
2294	O95831	ENSG00000156709	AIFM1	Known mitochondrial	Da
2295	O95831	ENSG00000156709	AIFM1	Known mitochondrial	Da
2296	O95831	ENSG00000156709	AIFM1	Known mitochondrial	Da
2297	O95847	ENSG00000153291	SLC25A27	Known mitochondrial	Da
2298	O95847	ENSG00000153291	SLC25A27	Known mitochondrial	Da
2299	O95861	ENSG00000162813	BPNT1	Predicted mitochondrial	Da
2300	O95861	ENSG00000162813	BPNT1	Predicted mitochondrial	Da
2301	O95861	ENSG00000162813	BPNT1	Predicted mitochondrial	Da
2302	O95861	ENSG00000162813	BPNT1	Predicted mitochondrial	Da
2305	O95881	ENSG00000117862	TXNDC12	Known mitochondrial	Da
2306	O95900	ENSG00000167112	TRUB2	Known mitochondrial	Da
2307	O95900	ENSG00000167112	TRUB2	Known mitochondrial	Da
2308	O96000	ENSG00000140990	NDUFB10	Known mitochondrial	Da
2309	O96000	ENSG00000140990	NDUFB10	Known mitochondrial	Da
2310	O96008	ENSG00000130204	TOMM40	Known mitochondrial	Da
2311	O96008	ENSG00000130204	TOMM40	Known mitochondrial	Da
2312	P00156	ENSG00000198727	MT-CYB	Known mitochondrial	Da
2313	P00167	ENSG00000166347	CYB5A	Predicted mitochondrial	Da
2314	P00167	ENSG00000166347	CYB5A	Predicted mitochondrial	Da
2315	P00167	ENSG00000166347	CYB5A	Predicted mitochondrial	Da
2316	P00367	ENSG00000148672	GLUD1	Known mitochondrial	Da
2317	P00367	ENSG00000148672	GLUD1	Known mitochondrial	Da
2318	P00367	ENSG00000148672	GLUD1	Known mitochondrial	Da
2319	P00387	ENSG00000100243	CYB5R3	Known mitochondrial	Da
2320	P00387	ENSG00000100243	CYB5R3	Known mitochondrial	Da
2321	P00387	ENSG00000100243	CYB5R3	Known mitochondrial	Da
2322	P00390	ENSG00000104687	GSR	Known mitochondrial	Da
2323	P00390	ENSG00000104687	GSR	Known mitochondrial	Da
2324	P00390	ENSG00000104687	GSR	Known mitochondrial	Da
2325	P00390	ENSG00000104687	GSR	Known mitochondrial	Da
2326	P00390	ENSG00000104687	GSR	Known mitochondrial	Da
2327	P00395	ENSG00000198804	MT-CO1	Known mitochondrial	Da
2328	P00403	ENSG00000198712	MT-CO2	Known mitochondrial	Da
2329	P00414	ENSG00000198938	MT-CO3	Known mitochondrial	Da
2330	P00441	ENSG00000142168	SOD1	Predicted mitochondrial	Da
2331	P00480	ENSG00000036473	OTC	Known mitochondrial	Da
2332	P00505	ENSG00000125166	GOT2	Known mitochondrial	Da
2333	P00505	ENSG00000125166	GOT2	Known mitochondrial	Da
2334	P00558	ENSG00000102144	PGK1	Predicted mitochondrial	Da
2335	P00558	ENSG00000102144	PGK1	Predicted mitochondrial	Da
2336	P00846	ENSG00000198899	MT-ATP6	Known mitochondrial	Da
2337	P00966	ENSG00000130707	ASS1	Predicted mitochondrial	Da
2338	P00973	ENSG00000089127	OAS1	Predicted mitochondrial	Da
2339	P00973	ENSG00000089127	OAS1	Predicted mitochondrial	Da
2340	P00973	ENSG00000089127	OAS1	Predicted mitochondrial	Da
2341	P00973	ENSG00000089127	OAS1	Predicted mitochondrial	Da
2342	P01116	ENSG00000133703	KRAS	Known mitochondrial	Da
2343	P01116	ENSG00000133703	KRAS	Known mitochondrial	Da
2344	P02511	ENSG00000109846	CRYAB	Predicted mitochondrial	Da
2345	P02786	ENSG00000072274	TFRC	Predicted mitochondrial	Da
2346	P02792	ENSG00000087086	FTL	Predicted mitochondrial	Da
2347	P02794	ENSG00000167996	FTH1	Predicted mitochondrial	Da
2348	P03886	ENSG00000198888	MT-ND1	Known mitochondrial	Da
2349	P03891	ENSG00000198763	MT-ND2	Known mitochondrial	Da
2350	P03897	ENSG00000198840	MT-ND3	Known mitochondrial	Da
2352	P03905	ENSG00000198886	MT-ND4	Known mitochondrial	Da
2353	P03915	ENSG00000198786	MT-ND5	Known mitochondrial	Da
2354	P03923	ENSG00000198695	MT-ND6	Known mitochondrial	Da
2355	P03928	ENSG00000228253	MT-ATP8	Known mitochondrial	Da
2356	P04049	ENSG00000132155	RAF1	Known mitochondrial	Da
2357	P04049	ENSG00000132155	RAF1	Known mitochondrial	Da
2358	P04083	ENSG00000135046	ANXA1	Predicted mitochondrial	Da
2359	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2360	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2361	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2362	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2363	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2364	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2365	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2366	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2367	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2368	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2369	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2370	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2371	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2372	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2373	P04150	ENSG00000113580	NR3C1	Known mitochondrial	Da
2374	P04179	ENSG00000112096	SOD2	Known mitochondrial	Da
2375	P04179	ENSG00000112096	SOD2	Known mitochondrial	Da
2376	P04179	ENSG00000112096	SOD2	Known mitochondrial	Da
2377	P04179	ENSG00000112096	SOD2	Known mitochondrial	Da
2378	P04181	ENSG00000065154	OAT	Known mitochondrial	Da
2379	P04181	ENSG00000065154	OAT	Known mitochondrial	Da
2380	P04406	ENSG00000111640	GAPDH	Predicted mitochondrial	Da
2381	P04406	ENSG00000111640	GAPDH	Predicted mitochondrial	Da
2382	P04798	ENSG00000140465	CYP1A1	Known mitochondrial	Da
2383	P04798	ENSG00000140465	CYP1A1	Known mitochondrial	Da
2384	P04798	ENSG00000140465	CYP1A1	Known mitochondrial	Da
2385	P04818	ENSG00000176890	TYMS	Known mitochondrial	Da
2386	P04818	ENSG00000176890	TYMS	Known mitochondrial	Da
2387	P04818	ENSG00000176890	TYMS	Known mitochondrial	Da
2388	P04844	ENSG00000118705	RPN2	Predicted mitochondrial	Da
2389	P04844	ENSG00000118705	RPN2	Predicted mitochondrial	Da
2390	P05089	ENSG00000118520	ARG1	Predicted mitochondrial	Da
2391	P05089	ENSG00000118520	ARG1	Predicted mitochondrial	Da
2392	P05089	ENSG00000118520	ARG1	Predicted mitochondrial	Da
2393	P05091	ENSG00000111275	ALDH2	Known mitochondrial	Da
2394	P05091	ENSG00000111275	ALDH2	Known mitochondrial	Da
2395	P05108	ENSG00000140459	CYP11A1	Known mitochondrial	Da
2396	P05108	ENSG00000140459	CYP11A1	Known mitochondrial	Da
2397	P05141	ENSG00000005022	SLC25A5	Known mitochondrial	Da
2398	P05165	ENSG00000175198	PCCA	Known mitochondrial	Da
2399	P05165	ENSG00000175198	PCCA	Known mitochondrial	Da
2400	P05165	ENSG00000175198	PCCA	Known mitochondrial	Da
2401	P05166	ENSG00000114054	PCCB	Known mitochondrial	Da
2402	P05166	ENSG00000114054	PCCB	Known mitochondrial	Da
2403	P05387	ENSG00000177600	RPLP2	Predicted mitochondrial	Da
2404	P05388	ENSG00000089157	RPLP0	Predicted mitochondrial	Da
2405	P05388	ENSG00000089157	RPLP0	Predicted mitochondrial	Da
2406	P05496	ENSG00000159199	ATP5G1	Known mitochondrial	Da
