Protein	Gene.ID	Gene	Status	CAFA
45	A0A087WWD5	ENSG00000102125	TAZ	Known mitochondrial	NA
46	A0A087WWI4	ENSG00000149428	HYOU1	Predicted mitochondrial	NA
47	A0A087WWM6	ENSG00000100033	PRODH	Known mitochondrial	NA
48	A0A087WX97	ENSG00000099968	BCL2L13	Predicted mitochondrial	NA
49	A0A087WXC5	ENSG00000130414	NDUFA10	Known mitochondrial	NA
50	A0A087WXF6	ENSG00000115286	NDUFS7	Known mitochondrial	NA
51	A0A087WXG2	ENSG00000133597	ADCK2	Predicted mitochondrial	NA
52	A0A087WXQ8	ENSG00000277791	PSMB3	Predicted mitochondrial	NA
53	A0A087WXR5	ENSG00000128609	NDUFA5	Known mitochondrial	NA
54	A0A087WXS3	ENSG00000006125	AP2B1	Predicted mitochondrial	NA
55	A0A087WXS8	ENSG00000121289	CEP89	Known mitochondrial	NA
56	A0A087WXU0	ENSG00000155906	RMND1	Known mitochondrial	NA
57	A0A087WXZ7	ENSG00000068097	HEATR6	Predicted mitochondrial	NA
58	A0A087WY10	ENSG00000277791	PSMB3	Predicted mitochondrial	NA
59	A0A087WY49	ENSG00000278259	MYO19	Known mitochondrial	NA
60	A0A087WY71	ENSG00000161203	AP2M1	Predicted mitochondrial	NA
61	A0A087WYB4	ENSG00000165283	STOML2	Known mitochondrial	NA
62	A0A087WYD0	ENSG00000136521	NDUFB5	Known mitochondrial	NA
63	A0A087WYF7	ENSG00000155008	APOOL	Known mitochondrial	NA
64	A0A087WYS0	ENSG00000132305	IMMT	Known mitochondrial	NA
65	A0A087WYS9	ENSG00000148290	SURF1	Known mitochondrial	NA
66	A0A087WYX6	ENSG00000162946	DISC1	Known mitochondrial	NA
67	A0A087WYY5	ENSG00000186298	PPP1CC	Predicted mitochondrial	NA
68	A0A087WZC1	ENSG00000278619	MRM1	Known mitochondrial	NA
69	A0A087WZF8	ENSG00000165949	IFI27	Known mitochondrial	NA
70	A0A087WZL8	ENSG00000156113	KCNMA1	Known mitochondrial	NA
71	A0A087WZN1	ENSG00000101365	IDH3B	Known mitochondrial	NA
72	A0A087WZR1	ENSG00000165949	IFI27	Known mitochondrial	NA
73	A0A087WZR9	ENSG00000143811	PYCR2	Known mitochondrial	NA
74	A0A087WZX2	ENSG00000165264	NDUFB6	Known mitochondrial	NA
75	A0A087WZY2	ENSG00000196683	TOMM7	Known mitochondrial	NA
76	A0A087WZZ9	ENSG00000170312	CDK1	Known mitochondrial	NA
77	A0A087X004	ENSG00000135423	GLS2	Known mitochondrial	NA
78	A0A087X054	ENSG00000149428	HYOU1	Predicted mitochondrial	NA
79	A0A087X090	ENSG00000160752	FDPS	Predicted mitochondrial	NA
80	A0A087X0Q9	ENSG00000073169	SELENOO	Predicted mitochondrial	NA
81	A0A087X0V6	ENSG00000117481	NSUN4	Known mitochondrial	NA
82	A0A087X0W7	ENSG00000119673	ACOT2	Known mitochondrial	NA
83	A0A087X0Z2	ENSG00000196236	XPNPEP3	Known mitochondrial	NA
84	A0A087X0Z7	ENSG00000100612	DHRS7	Predicted mitochondrial	NA
85	A0A087X114	ENSG00000139428	MMAB	Known mitochondrial	NA
86	A0A087X174	ENSG00000165949	IFI27	Known mitochondrial	NA
87	A0A087X1G1	ENSG00000128609	NDUFA5	Known mitochondrial	NA
88	A0A087X1G4	ENSG00000166321	NUDT13	Predicted mitochondrial	NA
89	A0A087X1I3	ENSG00000073578	SDHA	Known mitochondrial	NA
90	A0A087X1K9	ENSG00000120992	LYPLA1	Predicted mitochondrial	NA
91	A0A087X1N6	ENSG00000196072	BLOC1S2	Known mitochondrial	NA
92	A0A087X1S1	ENSG00000120662	MTRF1	Known mitochondrial	NA
93	A0A087X1Z2	ENSG00000115468	EFHD1	Known mitochondrial	NA
94	A0A087X215	ENSG00000172270	BSG	Predicted mitochondrial	NA
95	A0A087X253	ENSG00000006125	AP2B1	Predicted mitochondrial	NA
96	A0A087X2B9	ENSG00000173660	UQCRH	Known mitochondrial	NA
97	A0A087X2D5	ENSG00000278845	MRPL45	Known mitochondrial	NA
98	A0A087X2E5	ENSG00000101365	IDH3B	Known mitochondrial	NA
99	A0A087X2I2	ENSG00000167468	GPX4	Known mitochondrial	NA
100	A0A096LP96	ENSG00000184470	TXNRD2	Known mitochondrial	NA
101	A0A096LPB7	ENSG00000184470	TXNRD2	Known mitochondrial	NA
102	A0A096LPD9	ENSG00000184470	TXNRD2	Known mitochondrial	NA
103	A0A096LPH4	ENSG00000184470	TXNRD2	Known mitochondrial	NA
104	A0A096LPK7	ENSG00000184470	TXNRD2	Known mitochondrial	NA
105	A0A0A0MQX2	ENSG00000124532	MRS2	Known mitochondrial	NA
106	A0A0A0MQZ4	ENSG00000163644	PPM1K	Known mitochondrial	NA
107	A0A0A0MR33	ENSG00000100577	GSTZ1	Known mitochondrial	NA
108	A0A0A0MR51	ENSG00000149485	FADS1	Known mitochondrial	NA
109	A0A0A0MR90	ENSG00000099968	BCL2L13	Predicted mitochondrial	NA
110	A0A0A0MRB0	ENSG00000189283	FHIT	Predicted mitochondrial	NA
111	A0A0A0MRC3	ENSG00000156113	KCNMA1	Known mitochondrial	NA
112	A0A0A0MRF4	ENSG00000115364	MRPL19	Known mitochondrial	NA
113	A0A0A0MRG8	ENSG00000030110	BAK1	Known mitochondrial	NA
114	A0A0A0MRJ6	ENSG00000120265	PCMT1	Predicted mitochondrial	NA
115	A0A0A0MRK6	ENSG00000173171	MTX1	Known mitochondrial	NA
116	A0A0A0MRN6	ENSG00000137944	KYAT3	Known mitochondrial	NA
117	A0A0A0MRP1	ENSG00000137968	SLC44A5	Predicted mitochondrial	NA
118	A0A0A0MRQ5	ENSG00000117450	PRDX1	Predicted mitochondrial	NA
119	A0A0A0MRR0	ENSG00000156113	KCNMA1	Known mitochondrial	NA
120	A0A0A0MRW7	ENSG00000137074	APTX	Known mitochondrial	NA
121	A0A0A0MRX9	ENSG00000107959	PITRM1	Known mitochondrial	NA
122	A0A0A0MS24	ENSG00000077157	PPP1R12B	Predicted mitochondrial	NA
123	A0A0A0MS29	ENSG00000168958	MFF	Known mitochondrial	NA
124	A0A0A0MS36	ENSG00000162836	ACP6	Known mitochondrial	NA
125	A0A0A0MS56	ENSG00000172955	ADH6	Predicted mitochondrial	NA
126	A0A0A0MS74	ENSG00000100889	PCK2	Known mitochondrial	NA
127	A0A0A0MSC8	ENSG00000184347	SLIT3	Known mitochondrial	NA
128	A0A0A0MSE2	ENSG00000138796	HADH	Known mitochondrial	NA
129	A0A0A0MSE6	ENSG00000156113	KCNMA1	Known mitochondrial	NA
130	A0A0A0MSI5	ENSG00000183597	TANGO2	Known mitochondrial	NA
131	A0A0A0MSK2	ENSG00000229833	PET100	Known mitochondrial	NA
132	A0A0A0MSQ0	ENSG00000102024	PLS3	Predicted mitochondrial	NA
133	A0A0A0MSU4	ENSG00000141338	ABCA8	Predicted mitochondrial	NA
134	A0A0A0MSY7	ENSG00000166548	TK2	Known mitochondrial	NA
135	A0A0A0MSZ4	ENSG00000161513	FDXR	Known mitochondrial	NA
136	A0A0A0MT16	ENSG00000179869	ABCA13	Predicted mitochondrial	NA
137	A0A0A0MT55	ENSG00000123453	SARDH	Known mitochondrial	NA
138	A0A0A0MT64	ENSG00000161513	FDXR	Known mitochondrial	NA
139	A0A0A0MT83	ENSG00000128928	IVD	Known mitochondrial	NA
140	A0A0A0MTC0	ENSG00000164306	PRIMPOL	Known mitochondrial	NA
141	A0A0A0MTE8	ENSG00000166833	NAV2	Predicted mitochondrial	NA
142	A0A0A0MTG1	ENSG00000137411	VARS2	Known mitochondrial	NA
143	A0A0A0MTI5	ENSG00000155368	DBI	Known mitochondrial	NA
144	A0A0A0MTJ1	ENSG00000105701	FKBP8	Known mitochondrial	NA
145	A0A0A0MTL4	ENSG00000166833	NAV2	Predicted mitochondrial	NA
146	A0A0A0MTN9	ENSG00000161513	FDXR	Known mitochondrial	NA
147	A0A0A0MTQ5	ENSG00000156411	C14orf2	Known mitochondrial	NA
148	A0A0A0MTR6	ENSG00000161513	FDXR	Known mitochondrial	NA
149	A0A0A0MTS3	ENSG00000152234	ATP5A1	Known mitochondrial	NA
150	A0A0A0MTS8	ENSG00000267673	FDX2	Known mitochondrial	NA
151	A0A0B4J1R2	ENSG00000111058	ACSS3	Known mitochondrial	NA
152	A0A0B4J1W9	ENSG00000132155	RAF1	Known mitochondrial	NA
153	A0A0B4J212	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
154	A0A0B4J213	ENSG00000156482	RPL30	Predicted mitochondrial	NA
155	A0A0B4J221	ENSG00000148950	IMMP1L	Known mitochondrial	NA
156	A0A0B4J230	ENSG00000130770	ATPIF1	Known mitochondrial	NA
157	A0A0B4J247	ENSG00000197969	VPS13A	Predicted mitochondrial	NA
158	A0A0B4J252	ENSG00000089060	SLC8B1	Known mitochondrial	NA
159	A0A0B4J298	ENSG00000217930	PAM16	Known mitochondrial	NA
160	A0A0B4J2A3	ENSG00000167641	PPP1R14A	Predicted mitochondrial	NA
161	A0A0B4J2A4	ENSG00000167315	ACAA2	Known mitochondrial	NA
162	A0A0B4J2C1	ENSG00000111639	MRPL51	Known mitochondrial	NA
163	A0A0C4DFM0	ENSG00000100577	GSTZ1	Known mitochondrial	NA
164	A0A0C4DFM1	ENSG00000101337	TM9SF4	Predicted mitochondrial	NA
165	A0A0C4DFN1	ENSG00000171109	MFN1	Known mitochondrial	NA
166	A0A0C4DFN8	ENSG00000161513	FDXR	Known mitochondrial	NA
167	A0A0C4DFQ1	ENSG00000173171	MTX1	Known mitochondrial	NA
168	A0A0C4DFQ6	ENSG00000185818	NAT8L	Known mitochondrial	NA
169	A0A0C4DFQ8	ENSG00000188611	ASAH2	Known mitochondrial	NA
170	A0A0C4DFU1	ENSG00000112096	SOD2	Known mitochondrial	NA
171	A0A0C4DFU2	ENSG00000112096	SOD2	Known mitochondrial	NA
172	A0A0C4DFU3	ENSG00000130363	RSPH3	Predicted mitochondrial	NA
173	A0A0C4DG02	ENSG00000119772	DNMT3A	Known mitochondrial	NA
174	A0A0C4DG06	ENSG00000138095	LRPPRC	Known mitochondrial	NA
175	A0A0C4DG17	ENSG00000168028	RPSA	Predicted mitochondrial	NA
176	A0A0C4DG29	ENSG00000130363	RSPH3	Predicted mitochondrial	NA
177	A0A0C4DG32	ENSG00000184903	IMMP2L	Known mitochondrial	NA
178	A0A0C4DG56	ENSG00000112096	SOD2	Known mitochondrial	NA
179	A0A0C4DG60	ENSG00000163738	MTHFD2L	Known mitochondrial	NA
180	A0A0C4DG91	ENSG00000172113	NME6	Known mitochondrial	NA
181	A0A0C4DGA0	ENSG00000168237	GLYCTK	Known mitochondrial	NA
182	A0A0C4DGA2	ENSG00000198721	ECI2	Known mitochondrial	NA
183	A0A0C4DGB9	ENSG00000138777	PPA2	Known mitochondrial	NA
184	A0A0C4DGG2	ENSG00000170516	COX7B2	Known mitochondrial	NA
185	A0A0C4DGH6	ENSG00000111647	UHRF1BP1L	Predicted mitochondrial	NA
186	A0A0C4DGI3	ENSG00000062485	CS	Known mitochondrial	NA
187	A0A0C4DGJ8	ENSG00000205707	ETFRF1	Predicted mitochondrial	NA
188	A0A0C4DGL3	ENSG00000128951	DUT	Known mitochondrial	NA
189	A0A0C4DGN7	ENSG00000161513	FDXR	Known mitochondrial	NA
190	A0A0C4DGP8	ENSG00000121289	CEP89	Known mitochondrial	NA
191	A0A0C4DGQ8	ENSG00000109016	DHRS7B	Predicted mitochondrial	NA
192	A0A0C4DGR6	ENSG00000156398	SFXN2	Predicted mitochondrial	NA
193	A0A0C4DGS0	ENSG00000184983	NDUFA6	Known mitochondrial	NA
194	A0A0C4DGU2	ENSG00000132763	MMACHC	Predicted mitochondrial	NA
195	A0A0C4DGV3	ENSG00000152620	NADK2	Known mitochondrial	NA
196	A0A0C4DH44	ENSG00000156482	RPL30	Predicted mitochondrial	NA
197	A0A0D9SEI0	ENSG00000130349	C6orf203	Predicted mitochondrial	NA
198	A0A0D9SEI7	ENSG00000214114	MYCBP	Known mitochondrial	NA
199	A0A0D9SEV0	ENSG00000039650	PNKP	Known mitochondrial	NA
200	A0A0D9SFJ1	ENSG00000119723	COQ6	Known mitochondrial	NA
201	A0A0D9SFL2	ENSG00000039650	PNKP	Known mitochondrial	NA
202	A0A0D9SFM1	ENSG00000140521	POLG	Known mitochondrial	NA
203	A0A0D9SFS3	ENSG00000105953	OGDH	Known mitochondrial	NA
204	A0A0J9YWF7	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
205	A0A0U1RQF8	ENSG00000136143	SUCLA2	Known mitochondrial	NA
206	A0A0U1RQI2	ENSG00000129422	MTUS1	Known mitochondrial	NA
207	A0A0U1RQK3	ENSG00000256053	APOPT1	Known mitochondrial	NA
208	A0A0U1RQM3	ENSG00000136371	MTHFS	Known mitochondrial	NA
209	A0A0U1RQS9	ENSG00000256053	APOPT1	Known mitochondrial	NA
210	A0A0U1RQT4	ENSG00000179152	TCAIM	Known mitochondrial	NA
211	A0A0U1RQY8	ENSG00000123191	ATP7B	Known mitochondrial	NA
212	A0A0U1RR64	ENSG00000169519	METTL15	Known mitochondrial	NA
213	A0A0U1RR76	ENSG00000169519	METTL15	Known mitochondrial	NA
214	A0A0U1RRD2	ENSG00000169519	METTL15	Known mitochondrial	NA
215	A0A0U1RRF2	ENSG00000169519	METTL15	Known mitochondrial	NA
216	A0A0U1RRK1	ENSG00000107745	MICU1	Known mitochondrial	NA
217	A0A0U1RRL8	ENSG00000006282	SPATA20	Known mitochondrial	NA
218	A0A140T9V3	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
219	A0A140TA84	ENSG00000174917	C19orf70	Known mitochondrial	NA
220	A0A140TA86	ENSG00000174917	C19orf70	Known mitochondrial	NA
221	A0A182DWF2	ENSG00000184470	TXNRD2	Known mitochondrial	NA
222	A0A182DWF3	ENSG00000184470	TXNRD2	Known mitochondrial	NA
223	A0A1B0GTA6	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
224	A0A1B0GTA8	ENSG00000145020	AMT	Known mitochondrial	NA
225	A0A1B0GTB8	ENSG00000157184	CPT2	Known mitochondrial	NA
226	A0A1B0GTD4	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
227	A0A1B0GTG2	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
228	A0A1B0GTJ4	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
229	A0A1B0GTL5	ENSG00000135631	RAB11FIP5	Known mitochondrial	NA
230	A0A1B0GTL9	ENSG00000157184	CPT2	Known mitochondrial	NA
231	A0A1B0GTM0	ENSG00000157184	CPT2	Known mitochondrial	NA
232	A0A1B0GTM2	ENSG00000145020	AMT	Known mitochondrial	NA
233	A0A1B0GTM3	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
234	A0A1B0GTP7	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
235	A0A1B0GTQ6	ENSG00000140521	POLG	Known mitochondrial	NA
236	A0A1B0GTQ7	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
237	A0A1B0GTV8	ENSG00000145020	AMT	Known mitochondrial	NA
238	A0A1B0GTX9	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
239	A0A1B0GTY9	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
240	A0A1B0GTZ5	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
241	A0A1B0GU06	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
242	A0A1B0GU55	ENSG00000145020	AMT	Known mitochondrial	NA
243	A0A1B0GU66	ENSG00000039650	PNKP	Known mitochondrial	NA
244	A0A1B0GUA1	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
245	A0A1B0GUA4	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
246	A0A1B0GUB8	ENSG00000157184	CPT2	Known mitochondrial	NA
247	A0A1B0GUD9	ENSG00000157184	CPT2	Known mitochondrial	NA
248	A0A1B0GUE3	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
249	A0A1B0GUG1	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
250	A0A1B0GUH5	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
251	A0A1B0GUJ2	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
252	A0A1B0GUP1	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
253	A0A1B0GUQ5	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
254	A0A1B0GUU7	ENSG00000145020	AMT	Known mitochondrial	NA
255	A0A1B0GV11	ENSG00000198689	SLC9A6	Known mitochondrial	NA
256	A0A1B0GV49	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
257	A0A1B0GV75	ENSG00000157184	CPT2	Known mitochondrial	NA
258	A0A1B0GV88	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
259	A0A1B0GVA3	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
260	A0A1B0GVA8	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
261	A0A1B0GVF3	ENSG00000157184	CPT2	Known mitochondrial	NA
262	A0A1B0GVG2	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
263	A0A1B0GVJ1	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
264	A0A1B0GVL2	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
265	A0A1B0GVP5	ENSG00000145020	AMT	Known mitochondrial	NA
266	A0A1B0GVY5	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
267	A0A1B0GW29	ENSG00000198689	SLC9A6	Known mitochondrial	NA
268	A0A1B0GW30	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
269	A0A1B0GW48	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
270	A0A1B0GW65	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
271	A0A1B0GW68	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
272	A0A1B0GW77	ENSG00000164904	ALDH7A1	Known mitochondrial	NA
273	A0A1B0GWC0	ENSG00000157184	CPT2	Known mitochondrial	NA
274	A0A1B0GWC4	ENSG00000145020	AMT	Known mitochondrial	NA
275	A0A1B0GWC9	ENSG00000104763	ASAH1	Predicted mitochondrial	NA
276	A0A1C7CYY3	ENSG00000068615	REEP1	Known mitochondrial	NA
277	A0A1P0AYU5	ENSG00000107819	SFXN3	Known mitochondrial	NA
278	A0A1W2PNH4	ENSG00000143224	PPOX	Known mitochondrial	NA
279	A0A1W2PNH9	ENSG00000156113	KCNMA1	Known mitochondrial	NA
280	A0A1W2PNQ3	ENSG00000156113	KCNMA1	Known mitochondrial	NA
281	A0A1W2PNQ5	ENSG00000121897	LIAS	Known mitochondrial	NA
282	A0A1W2PNW6	ENSG00000156113	KCNMA1	Known mitochondrial	NA
283	A0A1W2PNY0	ENSG00000204370	SDHD	Known mitochondrial	NA
284	A0A1W2PNY9	ENSG00000156113	KCNMA1	Known mitochondrial	NA
285	A0A1W2PP40	ENSG00000138796	HADH	Known mitochondrial	NA
286	A0A1W2PP66	ENSG00000175193	PARL	Known mitochondrial	NA
287	A0A1W2PP74	ENSG00000178445	GLDC	Known mitochondrial	NA
288	A0A1W2PP94	ENSG00000156113	KCNMA1	Known mitochondrial	NA
289	A0A1W2PPB1	ENSG00000178445	GLDC	Known mitochondrial	NA
290	A0A1W2PPH1	ENSG00000082212	ME2	Known mitochondrial	NA
291	A0A1W2PPT7	ENSG00000156113	KCNMA1	Known mitochondrial	NA
292	A0A1W2PPU4	ENSG00000179295	PTPN11	Known mitochondrial	NA
293	A0A1W2PPX7	ENSG00000156113	KCNMA1	Known mitochondrial	NA
294	A0A1W2PPY5	ENSG00000156113	KCNMA1	Known mitochondrial	NA
295	A0A1W2PPZ1	ENSG00000156113	KCNMA1	Known mitochondrial	NA
296	A0A1W2PQ37	ENSG00000082212	ME2	Known mitochondrial	NA
297	A0A1W2PQ61	ENSG00000156113	KCNMA1	Known mitochondrial	NA
298	A0A1W2PQ78	ENSG00000138796	HADH	Known mitochondrial	NA
299	A0A1W2PQ87	ENSG00000121897	LIAS	Known mitochondrial	NA
300	A0A1W2PQA0	ENSG00000156113	KCNMA1	Known mitochondrial	NA
301	A0A1W2PQE9	ENSG00000121897	LIAS	Known mitochondrial	NA
302	A0A1W2PQF8	ENSG00000082212	ME2	Known mitochondrial	NA
303	A0A1W2PQH3	ENSG00000082212	ME2	Known mitochondrial	NA
304	A0A1W2PQH4	ENSG00000082212	ME2	Known mitochondrial	NA
305	A0A1W2PQM0	ENSG00000143224	PPOX	Known mitochondrial	NA
306	A0A1W2PQR1	ENSG00000156113	KCNMA1	Known mitochondrial	NA
307	A0A1W2PQS5	ENSG00000100575	TIMM9	Known mitochondrial	NA
308	A0A1W2PQS9	ENSG00000121897	LIAS	Known mitochondrial	NA
309	A0A1W2PQT3	ENSG00000082212	ME2	Known mitochondrial	NA
310	A0A1W2PQU4	ENSG00000156113	KCNMA1	Known mitochondrial	NA
311	A0A1W2PQU6	ENSG00000178445	GLDC	Known mitochondrial	NA
312	A0A1W2PQV3	ENSG00000178445	GLDC	Known mitochondrial	NA
313	A0A1W2PQV5	ENSG00000138796	HADH	Known mitochondrial	NA
314	A0A1W2PQX3	ENSG00000140905	GCSH	Known mitochondrial	NA
315	A0A1W2PQY8	ENSG00000082212	ME2	Known mitochondrial	NA
316	A0A1W2PQZ8	ENSG00000156113	KCNMA1	Known mitochondrial	NA
317	A0A1W2PR40	ENSG00000121897	LIAS	Known mitochondrial	NA
318	A0A1W2PR56	ENSG00000156113	KCNMA1	Known mitochondrial	NA
319	A0A1W2PR62	ENSG00000156113	KCNMA1	Known mitochondrial	NA
320	A0A1W2PR68	ENSG00000082212	ME2	Known mitochondrial	NA
321	A0A1W2PR83	ENSG00000091140	DLD	Known mitochondrial	NA
322	A0A1W2PRB0	ENSG00000156113	KCNMA1	Known mitochondrial	NA
323	A0A1W2PRD2	ENSG00000121897	LIAS	Known mitochondrial	NA
324	A0A1W2PRF9	ENSG00000143224	PPOX	Known mitochondrial	NA
325	A0A1W2PRG5	ENSG00000156113	KCNMA1	Known mitochondrial	NA
326	A0A1W2PRH1	ENSG00000082212	ME2	Known mitochondrial	NA
327	A0A1W2PRH9	ENSG00000100575	TIMM9	Known mitochondrial	NA
328	A0A1W2PRK9	ENSG00000143436	MRPL9	Known mitochondrial	NA
329	A0A1W2PRN5	ENSG00000156113	KCNMA1	Known mitochondrial	NA
330	A0A1W2PRR1	ENSG00000166598	HSP90B1	Predicted mitochondrial	NA
331	A0A1W2PRV4	ENSG00000156113	KCNMA1	Known mitochondrial	NA
332	A0A1W2PRY9	ENSG00000082212	ME2	Known mitochondrial	NA
333	A0A1W2PS22	ENSG00000183207	RUVBL2	Known mitochondrial	NA
334	A0A1W2PS40	ENSG00000175193	PARL	Known mitochondrial	NA
335	A0A1W2PS48	ENSG00000183207	RUVBL2	Known mitochondrial	NA
336	A0A1W2PS54	ENSG00000156113	KCNMA1	Known mitochondrial	NA
337	A0A1W2PSD3	ENSG00000156113	KCNMA1	Known mitochondrial	NA
338	A0JNW5	ENSG00000111647	UHRF1BP1L	Predicted mitochondrial	NA
339	A0JNW5	ENSG00000111647	UHRF1BP1L	Predicted mitochondrial	NA
340	A0PJW6	ENSG00000168569	TMEM223	Predicted mitochondrial	NA
342	A1L188	ENSG00000224877	NDUFAF8	Predicted mitochondrial	NA
343	A1XBS5	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
344	A1XBS5	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
345	A1XBS5	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
346	A1XBS5	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
347	A1XBS5	ENSG00000188343	FAM92A	Predicted mitochondrial	NA
348	A2A274	ENSG00000100412	ACO2	Known mitochondrial	NA
349	A2A369	ENSG00000107099	DOCK8	Predicted mitochondrial	NA
350	A2A370	ENSG00000107099	DOCK8	Predicted mitochondrial	NA
351	A2AJT9	ENSG00000173681	CXorf23	Predicted mitochondrial	NA
352	A2AJT9	ENSG00000173681	CXorf23	Predicted mitochondrial	NA
353	A2AJT9	ENSG00000173681	CXorf23	Predicted mitochondrial	NA
354	A2IDC5	ENSG00000086504	MRPL28	Known mitochondrial	NA
355	A2T115	ENSG00000182346	DAOA	Known mitochondrial	NA
