"Gene.ID"	"Symbol"	"Homologs"	"Description"	"Category"	"Score"	"Evidence"	"Notes"	"OMIM_ID"	"Dis_description"	"DomRec"	"WashU"	"Disease"	"pLI"
"11"	"ENSG00000004864"	"SLC25A13"	"ENSG00000004864 ENSDARG00000099353 ENSMUSG00000015112 ENSRNOG00000009957 "	"solute carrier family 25 (aspartate/glutamate carrier), member 13"	"Known mitochondrial"	0.999999983	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID26450961_Sum: 14 | PMID12865426_liver_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 6 | MS_Kidney_Sum: 3 | MS_Heart_Sum: 5 | MTS_Mean: 0.172975 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | compartments_knowledge_difference: 1 | Comm_Mito_Ratio: 0.412 | "	"Characterised"	"603471,605814"	"Citrullinemia, type II, adult-onset; Citrullinemia, type II, neonatal-onset"	"R"	"MitoDis"	1	1.9404630788689e-15
"12"	"ENSG00000004961"	"HCCS"	"ENSG00000004961 ENSDARG00000028131 ENSMUSG00000031352 ENSRNOG00000025910 SPBC26H8.12 YAL039C "	"holocytochrome c synthase"	"Known mitochondrial"	1	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 8 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 1 | MS_Heart_Sum: 2 | MTS_Mean: 0.077225 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | YeastMitoEvidenceGFP: 1 | compartments_knowledge_difference: 1.8 | Comm_Mito_Ratio: 1 | "	"OMIM:300056"	"309801"	"Microphthalmia, syndromic 7"	"XD"	"MitoDis"	1	0.950550391243934
"13"	"ENSG00000005022"	"SLC25A5"	"ENSG00000005022 ENSDARG00000005853 ENSMUSG00000016319 ENSRNOG00000039980 "	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"	"Known mitochondrial"	0.999999844	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12601808_placenta_0: 1 | PMID12865426_liver_0: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16615898_Sum: 4 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 1 | PMID17000643_Sum: 3 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 8 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 9 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 5 | MTS_Mean: 0.08726875 | hela_subcell_location_Mitochondrion: 1 | compartments_knowledge_difference: 0.4 | Comm_Mito_Ratio: 1 | "	"Metabolic model"	NA	NA	NA	NA	0	0.857861936540947
"14"	"ENSG00000005059"	"CCDC109B"	"ENSG00000005059 ENSMUSG00000027994 ENSRNOG00000009433 "	"coiled-coil domain containing 109B"	"Known mitochondrial"	0.999999972	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID24708184_Sum: 3 | PMID26450961_Sum: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 2 | MTS_Mean: 0.66778125 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | compartments_knowledge_difference: 1.8 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | "	"Characterised"	NA	NA	NA	NA	0	0.00614925695036299
"15"	"ENSG00000005156"	"LIG3"	"ENSG00000005156 ENSDARG00000052553 ENSMUSG00000020697 ENSRNOG00000021815 "	"ligase III, DNA, ATP-dependent"	"Known mitochondrial"	0.624466679	"PMID24708184_Sum: 2 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 1 | MTS_Mean: 0.3429 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.2 | Comm_Mito_Ratio: 0.231 | "	"OMIM:600940"	NA	NA	NA	NA	0	2.83467985577354e-06
"16"	"ENSG00000005187"	"ACSM3"	"ENSG00000005187 ENSDARG00000004880 ENSMUSG00000030935 ENSRNOG00000032246 "	"acyl-CoA synthetase medium-chain family member 3"	"Known mitochondrial"	0.999999999	"PMID14651853_Sum: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 6 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MTS_Mean: 0.7284125 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2.2 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.75 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	4.97906453643603e-09
"17"	"ENSG00000005379"	"BZRAP1"	"ENSG00000005379 ENSMUSG00000034156 ENSRNOG00000007957 "	"benzodiazepine receptor (peripheral) associated protein 1"	"Known mitochondrial"	0.999998286	"PMID26450961_Sum: 1 | MS_Skeletal_Muscle_Sum: 1 | MTS_Mean: 0.02906875 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.8 | Comm_Mito_Ratio: 0.625 | "	"OMIM:610764"	NA	NA	NA	NA	0	0.0566264084919234
"18"	"ENSG00000005882"	"PDK2"	"ENSG00000005882 ENSDARG00000059054 ENSMUSG00000038967 ENSRNOG00000004172 SPAC644.11c YIL042C "	"pyruvate dehydrogenase kinase, isozyme 2"	"Known mitochondrial"	1	"PMID15253431_Sum: 1 | PMID16415296_unknown_0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 14 | PMID16615898_Sum: 2 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 2 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 2 | MS_Heart_Sum: 4 | MTS_Mean: 0.73569375 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.2 | Comm_Mito_Ratio: 0.962 | "	"Characterised"	NA	NA	NA	NA	0	0.168975524516492
"19"	"ENSG00000006125"	"AP2B1"	"ENSG00000006125 ENSDARG00000035152 ENSMUSG00000035152 ENSRNOG00000061543 "	"adaptor-related protein complex 2, beta 1 subunit"	"Predicted mitochondrial"	0.952834024	"PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 2 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID16615898_Sum: 3 | PMID26217684_brain_0: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 1 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.017 | hela_subcell_location_NotMitochondrion: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.6 | Comm_Mito_Ratio: 0.25 | "	""	NA	NA	NA	NA	0	0.999667233317167
"20"	"ENSG00000006282"	"SPATA20"	"ENSG00000006282 ENSDARG00000013880 ENSMUSG00000020867 ENSRNOG00000003273 "	"spermatogenesis associated 20"	"Known mitochondrial"	0.472794047	"MTS_Mean: 0.48045625 | compartments_knowledge_difference: -1.8 | Cluh_Enrichment: 1 | "	"APEX; PMID:23371551"	NA	NA	NA	NA	0	1.10605452840792e-05
"21"	"ENSG00000006530"	"AGK"	"ENSG00000006530 ENSMUSG00000029916 ENSRNOG00000011509 "	"acylglycerol kinase"	"Known mitochondrial"	0.999999998	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID16615898_Sum: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Heart_Sum: 3 | MTS_Mean: 0.4388625 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 1 | Cluh_Enrichment: 1 | "	"Characterised"	"614691,212350"	"Cataract 38; Sengers syndrome"	"R"	"MitoDis"	1	2.4706842233331e-06
"22"	"ENSG00000006695"	"COX10"	"ENSG00000006695 ENSDARG00000034309 ENSMUSG00000042148 ENSRNOG00000024972 SPBC365.02c YPL172C "	"COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor"	"Known mitochondrial"	0.999999974	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID24708184_Sum: 3 | MS_Brain_Sum: 1 | MTS_Mean: 0.6394375 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 2 | Comm_Mito_Ratio: 1 | "	"Characterised"	"256000,220110"	"Leigh syndrome; Mitochondrial complex IV deficiency"	"R"	"MitoDis"	1	0.646572545927849
"23"	"ENSG00000006744"	"ELAC2"	"ENSG00000006744 ENSDARG00000034060 ENSMUSG00000020549 ENSRNOG00000003424 SPBC3D6.03c YKR079C "	"elaC ribonuclease Z 2"	"Known mitochondrial"	1	"PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 5 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Brain_Sum: 3 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 1 | MS_Heart_Sum: 1 | MTS_Mean: 0.90098125 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | Cluh_Enrichment: 1 | Comm_Mito_Ratio: 0.833 | "	"OMIM:605367"	"615440"	"Combined oxidative phosphorylation deficiency 17"	"R"	"MitoDis"	1	4.06301820140536e-11
"24"	"ENSG00000006757"	"PNPLA4"	"ENSG00000006757 ENSDARG00000069834 ENSRNOG00000026157 "	"patatin-like phospholipase domain containing 4"	"Predicted mitochondrial"	0.839321393	"MTS_Mean: 0.11978125 | hela_subcell_location_Mitochondrion: 1 | HPA_NonMitochondria: 1 | HPA_Cytoplasm: 1 | Comm_Mito_Ratio: 0.167 | "	""	NA	NA	NA	NA	0	0.0110685080808277
"25"	"ENSG00000007516"	"BAIAP3"	"ENSG00000007516 ENSDARG00000079264 ENSMUSG00000047507 ENSRNOG00000017893 "	"BAI1-associated protein 3"	"Predicted mitochondrial"	0.825693581	"PMID26450961_Sum: 4 | MS_Brain_Sum: 2 | MS_Liver_Sum: 1 | MTS_Mean: 0.41510625 | Comm_Mito_Ratio: 0.091 | "	""	NA	NA	NA	NA	0	2.20929624637849e-19
"26"	"ENSG00000007923"	"DNAJC11"	"ENSG00000007923 ENSDARG00000102696 ENSMUSG00000039768 ENSRNOG00000008802 SPBC405.06 YLR090W "	"DnaJ (Hsp40) homolog, subfamily C, member 11"	"Known mitochondrial"	0.999999988	"PMID12592411_heart_0: 1 | PMID15253431_Sum: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 5 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 2 | MS_Kidney_Sum: 1 | MS_Heart_Sum: 4 | MTS_Mean: 0.02405625 | hela_subcell_location_Mitochondrion: 1 | HPA_Cytoplasm: 1 | YeastMitoEvidenceGFP: 1 | MammalMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 0.2 | Comm_Mito_Ratio: 0.714 | "	"OMIM:614827"	NA	NA	NA	NA	0	0.999970790294974
"27"	"ENSG00000008311"	"AASS"	"ENSG00000008311 ENSDARG00000051816 ENSMUSG00000029695 ENSRNOG00000039494 SPBC3B8.03 YNR050C "	"aminoadipate-semialdehyde synthase"	"Known mitochondrial"	1	"PMID14651853_Sum: 2 | PMID16415296_unknown_0: 1 | PMID19700791_liver_0: 1 | PMID26450961_Sum: 11 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 3 | MS_Liver_Sum: 5 | MS_Kidney_Sum: 3 | MTS_Mean: 0.87704375 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 2.6 | Comm_Mito_Ratio: 0.95 | "	"Characterised; Metabolic model; "	"238700,268700"	"Hyperlysinemia, type I; Saccharopinuria"	"R"	NA	1	1.35531507533066e-06
"28"	"ENSG00000008394"	"MGST1"	"ENSG00000008394 ENSDARG00000022165 ENSMUSG00000008540 ENSRNOG00000007743 "	"microsomal glutathione S-transferase 1"	"Predicted mitochondrial"	0.997045141	"PMID14651853_Sum: 2 | PMID16415296_unknown_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 1 | PMID26450961_Sum: 12 | PMID12865426_liver_0: 1 | PMID16615898_Sum: 2 | PMID16615899_liver_0: 1 | PMID17000643_Sum: 1 | MS_Placenta_Sum: 1 | MS_Brain_Sum: 4 | MS_Skeletal_Muscle_Sum: 1 | MS_Liver_Sum: 7 | MS_Heart_Sum: 2 | MTS_Mean: 0.055225 | hela_subcell_location_NotMitochondrion: 1 | HPA_Mitochondria: 1 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: 0.4 | Comm_Mito_Ratio: 0.143 | "	""	NA	NA	NA	NA	0	0.0140289444910937
"29"	"ENSG00000008405"	"CRY1"	"ENSG00000008405 ENSDARG00000045768 ENSMUSG00000020038 ENSRNOG00000006622 "	"cryptochrome circadian clock 1"	"Known mitochondrial"	0.257629596	"MTS_Mean: 0.28991875 | HPA_NonMitochondria: 1 | compartments_knowledge_difference: -0.8 | Comm_Mito_Ratio: 0.062 | "	"OMIM:601933"	NA	NA	NA	NA	0	4.24281789472779e-07
"30"	"ENSG00000010256"	"UQCRC1"	"ENSG00000010256 ENSDARG00000052304 ENSMUSG00000025651 ENSRNOG00000032134 SPBP23A10.15c YLR163C "	"ubiquinol-cytochrome c reductase core protein I"	"Known mitochondrial"	0.999997262	"PMID12592411_heart_0: 1 | PMID14651853_Sum: 4 | PMID15253431_Sum: 2 | PMID16415296_unknown_0: 1 | PMID17519225_T_leukemia_cell_line_0: 1 | PMID17705834_embryonic_stem_cell_line_0: 1 | PMID23956156_INS.1Beta_cell_line__0: 1 | PMID18348319_heart_0: 1 | PMID19567276_skeletal_muscle_0: 1 | PMID19700791_liver_0: 1 | PMID24708184_Sum: 4 | PMID26450961_Sum: 14 | PMID12210211_Sum: 1 | PMID12601808_placenta_0: 1 | PMID12652598_neuroblastoma_cell_line_IMR.32_0: 1 | PMID12865426_liver_0: 1 | PMID15501831_Sum: 1 | PMID15598749_T_leukemia_cell_line_0: 1 | PMID15986334_immortalized_lymphoblastoid_cell_line_0: 1 | PMID16120276_neuroblastoma_cell_line_SH.SY5Y_0: 1 | PMID16520066_articular_chondrocytes_0: 1 | PMID16615898_Sum: 5 | PMID16615899_liver_0: 1 | PMID16674101_Sum: 5 | PMID19834913_skeletal_muscle_0: 1 | PMID21189371_mammary_gland_0: 1 | PMID23971408_neuroblastoma_.SH.SY5Y._cell_line_0: 1 | PMID26217684_brain_0: 1 | MS_Placenta_Sum: 2 | MS_Brain_Sum: 9 | MS_Skeletal_Muscle_Sum: 4 | MS_Liver_Sum: 7 | MS_Kidney_Sum: 4 | MS_Heart_Sum: 9 | MTS_Mean: 0.87395 | hela_subcell_location_Mitochondrion: 1 | HPA_Mitochondria: 1 | HPA_Cytoplasm: 1 | YeastMitoEvidenceGFP: 1 | Rickettsia_Homolog: 1 | compartments_knowledge_difference: 3 | Comm_Mito_Ratio: 1 | "	"Characterised; Metabolic model; "	NA	NA	NA	NA	0	0.132467103146211
